Category,Category (copy),City,Country,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Row ID,Segment,Segment (Blues),Ship Date,Ship Mode,State,Sub-Category,Year,Bottom Half,Discount,Number of Records,Outer Venn Position,Overlapping Customers,Overlapping Position,Profit,Profit Ratio,Quantity,Sales
Office Supplies,Office Supplies,Springfield,United States,QJ-19255,Quincy Jones,15-10-2017,CA-2017-142097,22153,OFF-AP-10000696,Holmes Odor Grabber,South,3697,Corporate,Corporate,20-10-2017,Standard Class,Virginia,Appliances,2017,1,0,1,0,0,0,14.2758,33%,3,43.26
Furniture,Furniture,Seattle,United States,TC-21475,Tony Chapman,19-11-2016,CA-2016-151680,98115,FUR-FU-10000305,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",West,3698,Home Office,Home Office,21-11-2016,Second Class,Washington,Furnishings,2016,1,0,1,0,1,0,22.7136,16%,2,141.96
Office Supplies,Office Supplies,Tempe,United States,ON-18715,Odella Nelson,13-09-2015,CA-2015-140039,85281,OFF-ST-10001034,Eldon File Chest Portable File,West,3699,Corporate,Corporate,17-09-2015,Standard Class,Arizona,Storage,2015,1,0.2,1,0,1,0,5.955,8%,5,79.4
Technology,Technology,Yonkers,United States,AD-10180,Alan Dominguez,13-11-2018,CA-2018-160416,10701,TEC-AC-10004114,KeyTronic 6101 Series - Keyboard - Black,East,3700,Home Office,Home Office,18-11-2018,Second Class,New York,Accessories,2018,1,0,1,1,1,0.5,70.5028,43%,4,163.96
Furniture,Furniture,Rochester,United States,AC-10615,Ann Chong,24-12-2018,CA-2018-169411,14609,FUR-FU-10001602,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",East,3701,Corporate,Corporate,29-12-2018,Standard Class,New York,Furnishings,2018,1,0,1,1,1,0.5,6.8274,18%,1,37.93
Furniture,Furniture,Toledo,United States,MF-17665,Maureen Fritzler,9/1/2017,CA-2017-126543,43615,FUR-FU-10002445,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",East,3702,Corporate,Corporate,13-01-2017,Second Class,Ohio,Furnishings,2017,1,0.2,1,1,1,0.5,3.792,25%,2,15.168
Office Supplies,Office Supplies,Decatur,United States,DH-13075,Dave Hallsten,13-06-2016,CA-2016-104941,35601,OFF-AR-10004269,Newell 31,South,3703,Corporate,Corporate,19-06-2016,Standard Class,Alabama,Art,2016,1,0,1,0,1,0,6.9384,28%,6,24.78
Office Supplies,Office Supplies,Decatur,United States,DH-13075,Dave Hallsten,13-06-2016,CA-2016-104941,35601,OFF-BI-10001249,Avery Heavy-Duty EZD View Binder with Locking Rings,South,3704,Corporate,Corporate,19-06-2016,Standard Class,Alabama,Binders,2016,1,0,1,0,1,0,8.8044,46%,3,19.14
Technology,Technology,Decatur,United States,DH-13075,Dave Hallsten,13-06-2016,CA-2016-104941,35601,TEC-CO-10004202,Brother DCP1000 Digital 3 in 1 Multifunction Machine,South,3705,Corporate,Corporate,19-06-2016,Standard Class,Alabama,Copiers,2016,1,0,1,0,1,0,314.9895,35%,3,899.97
Office Supplies,Office Supplies,Decatur,United States,DH-13075,Dave Hallsten,13-06-2016,CA-2016-104941,35601,OFF-PA-10003363,Xerox 204,South,3706,Corporate,Corporate,19-06-2016,Standard Class,Alabama,Paper,2016,1,0,1,0,1,0,15.552,48%,5,32.4
Office Supplies,Office Supplies,Dallas,United States,EN-13780,Edward Nazzal,18-03-2018,CA-2018-160087,75220,OFF-AR-10001915,Peel-Off China Markers,Central,3707,Consumer,Consumer,22-03-2018,Standard Class,Texas,Art,2018,1,0.2,1,0,0,0,6.5538,28%,3,23.832
Furniture,Furniture,Mesquite,United States,SS-20140,Saphhira Shifley,23-11-2015,CA-2015-120544,75150,FUR-FU-10001940,Staple-based wall hangings,Central,3708,Corporate,Corporate,27-11-2015,Standard Class,Texas,Furnishings,2015,1,0.6,1,0,1,0,-2.5472,-40%,2,6.368
Office Supplies,Office Supplies,Mesquite,United States,SS-20140,Saphhira Shifley,23-11-2015,CA-2015-120544,75150,OFF-AP-10004336,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",Central,3709,Corporate,Corporate,27-11-2015,Standard Class,Texas,Appliances,2015,1,0.8,1,0,1,0,-87.1488,-255%,3,34.176
Technology,Technology,Mesquite,United States,SS-20140,Saphhira Shifley,23-11-2015,CA-2015-120544,75150,TEC-AC-10003709,Maxell 4.7GB DVD-R 5/Pack,Central,3710,Corporate,Corporate,27-11-2015,Standard Class,Texas,Accessories,2015,1,0.2,1,0,1,0,1.6632,30%,7,5.544
Furniture,Furniture,Los Angeles,United States,RS-19765,Roland Schwarz,15-10-2018,CA-2018-113670,90045,FUR-TA-10001705,Bush Advantage Collection Round Conference Table,West,3711,Corporate,Corporate,17-10-2018,First Class,California,Tables,2018,1,0.2,1,0,1,0,6.378,1%,3,510.24
Office Supplies,Office Supplies,Los Angeles,United States,RS-19765,Roland Schwarz,15-10-2018,CA-2018-113670,90045,OFF-PA-10000675,Xerox 1919,West,3712,Corporate,Corporate,17-10-2018,First Class,California,Paper,2018,1,0,1,0,1,0,100.4255,49%,5,204.95
Technology,Technology,Seattle,United States,JW-15955,Joni Wasserman,21-04-2018,CA-2018-166198,98103,TEC-AC-10000521,"Verbatim Slim CD and DVD Storage Cases, 50/Pack",West,3713,Consumer,Consumer,24-04-2018,First Class,Washington,Accessories,2018,1,0,1,0,1,0,3.462,30%,1,11.54
Furniture,Furniture,Seattle,United States,JW-15955,Joni Wasserman,21-04-2018,CA-2018-166198,98103,FUR-FU-10004622,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,West,3714,Consumer,Consumer,24-04-2018,First Class,Washington,Furnishings,2018,1,0,1,0,1,0,34.146,21%,3,162.6
Office Supplies,Office Supplies,Olympia,United States,JK-15625,Jim Karlsson,8/12/2015,CA-2015-135608,98502,OFF-PA-10001954,Xerox 1964,West,3715,Consumer,Consumer,10/12/2015,Second Class,Washington,Paper,2015,1,0,1,0,1,0,21.0128,46%,2,45.68
Furniture,Furniture,Olympia,United States,JK-15625,Jim Karlsson,8/12/2015,CA-2015-135608,98502,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,West,3716,Consumer,Consumer,10/12/2015,Second Class,Washington,Chairs,2015,1,0.2,1,0,1,0,45.294,8%,5,603.92
Office Supplies,Office Supplies,Omaha,United States,JO-15550,Jesus Ocampo,29-05-2018,CA-2018-144568,68104,OFF-FA-10004395,Plymouth Boxed Rubber Bands by Plymouth,Central,3717,Home Office,Home Office,2/6/2018,Standard Class,Nebraska,Fasteners,2018,1,0,1,0,1,0,1.1775,5%,5,23.55
Office Supplies,Office Supplies,Columbus,United States,TP-21130,Theone Pippenger,19-09-2017,CA-2017-142370,31907,OFF-SU-10003002,Letter Slitter,South,3718,Consumer,Consumer,23-09-2017,Standard Class,Georgia,Supplies,2017,1,0,1,0,1,0,0.1512,3%,2,5.04
Technology,Technology,Columbus,United States,TP-21130,Theone Pippenger,19-09-2017,CA-2017-142370,31907,TEC-AC-10002926,Logitech Wireless Marathon Mouse M705,South,3719,Consumer,Consumer,23-09-2017,Standard Class,Georgia,Accessories,2017,1,0,1,0,1,0,107.4785,43%,5,249.95
Office Supplies,Office Supplies,Columbus,United States,BS-11590,Brendan Sweed,17-09-2017,CA-2017-105900,47201,OFF-AR-10002656,Sanford Liquid Accent Highlighters,Central,3720,Corporate,Corporate,23-09-2017,Standard Class,Indiana,Art,2017,1,0,1,0,1,0,12.358,37%,5,33.4
Furniture,Furniture,Jackson,United States,AB-10255,Alejandro Ballentine,20-12-2017,CA-2017-151155,39212,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,South,3721,Home Office,Home Office,24-12-2017,Standard Class,Mississippi,Furnishings,2017,1,0,1,0,1,0,7.3788,39%,4,18.92
Office Supplies,Office Supplies,Jackson,United States,AB-10255,Alejandro Ballentine,20-12-2017,CA-2017-151155,39212,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,South,3722,Home Office,Home Office,24-12-2017,Standard Class,Mississippi,Binders,2017,1,0,1,0,1,0,6.939,45%,2,15.42
Office Supplies,Office Supplies,Houston,United States,FO-14305,Frank Olsen,22-11-2018,CA-2018-144036,77070,OFF-AR-10000122,Newell 314,Central,3723,Consumer,Consumer,26-11-2018,Standard Class,Texas,Art,2018,1,0.2,1,0,1,0,2.232,6%,8,35.712
Office Supplies,Office Supplies,Phoenix,United States,MF-17665,Maureen Fritzler,30-12-2015,US-2015-169789,85023,OFF-BI-10004600,Ibico Ibimaster 300 Manual Binding System,West,3724,Corporate,Corporate,4/1/2016,Standard Class,Arizona,Binders,2015,1,0.7,1,0,1,0,-459.9875,-83%,5,551.985
Office Supplies,Office Supplies,Chicago,United States,SA-20830,Sue Ann Reed,3/4/2018,CA-2018-127264,60653,OFF-AR-10003045,Prang Colored Pencils,Central,3725,Consumer,Consumer,5/4/2018,First Class,Illinois,Art,2018,1,0.2,1,0,1,0,2.205,31%,3,7.056
Office Supplies,Office Supplies,Denver,United States,SH-19975,Sally Hughsby,26-12-2017,CA-2017-151512,80219,OFF-AP-10000252,Harmony HEPA Quiet Air Purifiers,West,3726,Corporate,Corporate,2/1/2018,Standard Class,Colorado,Appliances,2017,1,0.2,1,0,1,0,3.51,19%,2,18.72
Office Supplies,Office Supplies,Newark,United States,JL-15235,Janet Lee,5/6/2017,CA-2017-165169,19711,OFF-ST-10001496,Standard Rollaway File with Lock,East,3727,Consumer,Consumer,11/6/2017,Standard Class,Delaware,Storage,2017,1,0,1,1,1,0.5,93.6988,26%,2,360.38
Office Supplies,Office Supplies,Newark,United States,JL-15235,Janet Lee,5/6/2017,CA-2017-165169,19711,OFF-AR-10000122,Newell 314,East,3728,Consumer,Consumer,11/6/2017,Standard Class,Delaware,Art,2017,1,0,1,1,1,0.5,2.79,25%,2,11.16
Office Supplies,Office Supplies,Newark,United States,JL-15235,Janet Lee,5/6/2017,CA-2017-165169,19711,OFF-LA-10000407,Avery White Multi-Purpose Labels,East,3729,Consumer,Consumer,11/6/2017,Standard Class,Delaware,Labels,2017,1,0,1,1,1,0.5,6.8724,46%,3,14.94
Office Supplies,Office Supplies,Clinton,United States,KH-16630,Ken Heidel,18-09-2016,CA-2016-109575,20735,OFF-ST-10004950,Acco Perma 3000 Stacking Storage Drawers,East,3730,Corporate,Corporate,23-09-2016,Standard Class,Maryland,Storage,2016,1,0,1,1,1,0.5,7.9724,19%,2,41.96
Office Supplies,Office Supplies,Clinton,United States,KH-16630,Ken Heidel,18-09-2016,CA-2016-109575,20735,OFF-ST-10004123,Safco Industrial Wire Shelving System,East,3731,Corporate,Corporate,23-09-2016,Standard Class,Maryland,Storage,2016,1,0,1,1,1,0.5,0,0%,7,636.86
Technology,Technology,Clinton,United States,KH-16630,Ken Heidel,18-09-2016,CA-2016-109575,20735,TEC-PH-10000730,Samsung Galaxy S4 Active,East,3732,Corporate,Corporate,23-09-2016,Standard Class,Maryland,Phones,2016,1,0,1,1,1,0.5,129.9974,26%,1,499.99
Technology,Technology,Clinton,United States,KH-16630,Ken Heidel,18-09-2016,CA-2016-109575,20735,TEC-PH-10000895,Polycom VVX 310 VoIP phone,East,3733,Corporate,Corporate,23-09-2016,Standard Class,Maryland,Phones,2016,1,0,1,1,1,0.5,327.5818,26%,7,"1,259.93"
Office Supplies,Office Supplies,Clinton,United States,KH-16630,Ken Heidel,18-09-2016,CA-2016-109575,20735,OFF-BI-10000962,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",East,3734,Corporate,Corporate,23-09-2016,Standard Class,Maryland,Binders,2016,1,0,1,1,1,0.5,31.8892,49%,4,65.08
Office Supplies,Office Supplies,New York City,United States,RM-19750,Roland Murray,6/3/2018,CA-2018-168193,10011,OFF-PA-10002254,Xerox 1883,East,3735,Consumer,Consumer,11/3/2018,Second Class,New York,Paper,2018,1,0,1,1,0,0.5,12.1348,46%,1,26.38
Furniture,Furniture,New York City,United States,RM-19750,Roland Murray,6/3/2018,CA-2018-168193,10011,FUR-FU-10002554,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",East,3736,Consumer,Consumer,11/3/2018,Second Class,New York,Furnishings,2018,1,0,1,1,0,0.5,16.5531,23%,3,71.97
Technology,Technology,Newark,United States,VM-21835,Vivian Mathis,17-03-2017,CA-2017-115476,19711,TEC-PH-10000673,Plantronics Voyager Pro HD - Bluetooth Headset,East,3737,Consumer,Consumer,17-03-2017,Same Day,Delaware,Phones,2017,1,0,1,1,1,0.5,62.3904,48%,2,129.98
Office Supplies,Office Supplies,Newark,United States,VM-21835,Vivian Mathis,17-03-2017,CA-2017-115476,19711,OFF-BI-10000962,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",East,3738,Consumer,Consumer,17-03-2017,Same Day,Delaware,Binders,2017,1,0,1,1,1,0.5,15.9446,49%,2,32.54
Technology,Technology,Jackson,United States,LH-17155,Logan Haushalter,9/12/2017,CA-2017-133340,49201,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Central,3739,Consumer,Consumer,13-12-2017,Standard Class,Michigan,Phones,2017,1,0,1,0,1,0,3.052,28%,1,10.9
Technology,Technology,Jackson,United States,LH-17155,Logan Haushalter,9/12/2017,CA-2017-133340,49201,TEC-AC-10001109,Logitech Trackman Marble Mouse,Central,3740,Consumer,Consumer,13-12-2017,Standard Class,Michigan,Accessories,2017,1,0,1,0,1,0,25.1916,42%,2,59.98
Office Supplies,Office Supplies,Jackson,United States,LH-17155,Logan Haushalter,9/12/2017,CA-2017-133340,49201,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,3741,Consumer,Consumer,13-12-2017,Standard Class,Michigan,Appliances,2017,1,0.1,1,0,1,0,23.3954,38%,1,61.929
Office Supplies,Office Supplies,New York City,United States,WB-21850,William Brown,15-01-2017,CA-2017-137848,10011,OFF-EN-10001137,"#10 Gummed Flap White Envelopes, 100/Box",East,3742,Consumer,Consumer,21-01-2017,Standard Class,New York,Envelopes,2017,1,0,1,1,1,0.5,7.5992,46%,4,16.52
Office Supplies,Office Supplies,New York City,United States,WB-21850,William Brown,15-01-2017,CA-2017-137848,10011,OFF-PA-10004285,Xerox 1959,East,3743,Consumer,Consumer,21-01-2017,Standard Class,New York,Paper,2017,1,0,1,1,1,0.5,28.8576,48%,9,60.12
Office Supplies,Office Supplies,New York City,United States,WB-21850,William Brown,15-01-2017,CA-2017-137848,10011,OFF-BI-10002225,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",East,3744,Consumer,Consumer,21-01-2017,Standard Class,New York,Binders,2017,1,0.2,1,1,1,0.5,17.3376,35%,3,49.536
Office Supplies,Office Supplies,Rock Hill,United States,AP-10915,Arthur Prichep,24-10-2015,CA-2015-113047,29730,OFF-FA-10002763,Advantus Map Pennant Flags and Round Head Tacks,South,3745,Consumer,Consumer,24-10-2015,Same Day,South Carolina,Fasteners,2015,1,0,1,0,0,0,3.792,32%,3,11.85
Office Supplies,Office Supplies,Columbus,United States,RA-19915,Russell Applegate,23-09-2017,CA-2017-149979,31907,OFF-ST-10003058,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,South,3746,Consumer,Consumer,28-09-2017,Second Class,Georgia,Storage,2017,1,0,1,0,1,0,34.2925,29%,5,118.25
Furniture,Furniture,Columbus,United States,RA-19915,Russell Applegate,23-09-2017,CA-2017-149979,31907,FUR-CH-10002084,Hon Mobius Operator's Chair,South,3747,Consumer,Consumer,28-09-2017,Second Class,Georgia,Chairs,2017,1,0,1,0,1,0,81.1734,22%,3,368.97
Furniture,Furniture,Inglewood,United States,DR-12880,Dan Reichenbach,27-08-2018,CA-2018-161956,90301,FUR-FU-10002937,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",West,3748,Corporate,Corporate,29-08-2018,Second Class,California,Furnishings,2018,1,0,1,0,1,0,99.23,50%,2,198.46
Office Supplies,Office Supplies,Inglewood,United States,DR-12880,Dan Reichenbach,27-08-2018,CA-2018-161956,90301,OFF-AP-10001242,APC 7 Outlet Network SurgeArrest Surge Protector,West,3749,Corporate,Corporate,29-08-2018,Second Class,California,Appliances,2018,1,0,1,0,1,0,96.576,30%,4,321.92
Technology,Technology,Inglewood,United States,DR-12880,Dan Reichenbach,27-08-2018,CA-2018-161956,90301,TEC-CO-10001571,Sharp 1540cs Digital Laser Copier,West,3750,Corporate,Corporate,29-08-2018,Second Class,California,Copiers,2018,1,0.2,1,0,1,0,329.994,38%,2,879.984
Office Supplies,Office Supplies,Inglewood,United States,DR-12880,Dan Reichenbach,27-08-2018,CA-2018-161956,90301,OFF-SU-10002503,Acme Preferred Stainless Steel Scissors,West,3751,Corporate,Corporate,29-08-2018,Second Class,California,Supplies,2018,1,0,1,0,1,0,8.236,29%,5,28.4
Furniture,Furniture,Inglewood,United States,DR-12880,Dan Reichenbach,27-08-2018,CA-2018-161956,90301,FUR-CH-10004886,Bevis Steel Folding Chairs,West,3752,Corporate,Corporate,29-08-2018,Second Class,California,Chairs,2018,1,0.2,1,0,1,0,23.028,10%,3,230.28
Office Supplies,Office Supplies,Inglewood,United States,DR-12880,Dan Reichenbach,27-08-2018,CA-2018-161956,90301,OFF-PA-10001289,White Computer Printout Paper by Universal,West,3753,Corporate,Corporate,29-08-2018,Second Class,California,Paper,2018,1,0,1,0,1,0,56.9772,49%,3,116.28
Office Supplies,Office Supplies,Inglewood,United States,DR-12880,Dan Reichenbach,27-08-2018,CA-2018-161956,90301,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,West,3754,Corporate,Corporate,29-08-2018,Second Class,California,Binders,2018,1,0.2,1,0,1,0,294.5488,35%,2,841.568
Office Supplies,Office Supplies,Inglewood,United States,DR-12880,Dan Reichenbach,27-08-2018,CA-2018-161956,90301,OFF-ST-10001370,Sensible Storage WireTech Storage Systems,West,3755,Corporate,Corporate,29-08-2018,Second Class,California,Storage,2018,1,0,1,0,1,0,17.745,5%,5,354.9
Office Supplies,Office Supplies,Odessa,United States,JG-15310,Jason Gross,3/3/2017,CA-2017-116799,79762,OFF-PA-10001892,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Central,3756,Corporate,Corporate,6/3/2017,First Class,Texas,Paper,2017,1,0.2,1,0,1,0,15.5092,36%,7,42.784
Furniture,Furniture,Odessa,United States,JG-15310,Jason Gross,3/3/2017,CA-2017-116799,79762,FUR-CH-10004983,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Central,3757,Corporate,Corporate,6/3/2017,First Class,Texas,Chairs,2017,1,0.3,1,0,1,0,-56.343,-10%,5,563.43
Office Supplies,Office Supplies,Newark,United States,LC-16870,Lena Cacioppo,28-02-2017,CA-2017-111283,43055,OFF-AR-10001615,Newell 34,East,3758,Consumer,Consumer,4/3/2017,Standard Class,Ohio,Art,2017,1,0.2,1,1,1,0.5,8.3328,8%,7,111.104
Office Supplies,Office Supplies,Los Angeles,United States,GB-14530,George Bell,18-09-2016,CA-2016-167745,90049,OFF-AR-10003602,"Quartet Omega Colored Chalk, 12/Pack",West,3759,Corporate,Corporate,23-09-2016,Standard Class,California,Art,2016,1,0,1,0,1,0,5.4896,47%,2,11.68
Office Supplies,Office Supplies,Los Angeles,United States,GB-14530,George Bell,18-09-2016,CA-2016-167745,90049,OFF-SU-10004782,"Elite 5"" Scissors",West,3760,Corporate,Corporate,23-09-2016,Standard Class,California,Supplies,2016,1,0,1,0,1,0,5.07,30%,2,16.9
Furniture,Furniture,Los Angeles,United States,GB-14530,George Bell,18-09-2016,CA-2016-167745,90049,FUR-FU-10001591,Advantus Panel Wall Certificate Holder - 8.5x11,West,3761,Corporate,Corporate,23-09-2016,Standard Class,California,Furnishings,2016,1,0,1,0,1,0,10.248,42%,2,24.4
Office Supplies,Office Supplies,Everett,United States,CK-12205,Chloris Kastensmidt,12/5/2018,CA-2018-104577,2149,OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",East,3762,Consumer,Consumer,17-05-2018,Standard Class,Massachusetts,Paper,2018,1,0,1,1,1,0.5,42.048,48%,5,87.6
Furniture,Furniture,West Allis,United States,TS-21160,Theresa Swint,13-08-2017,CA-2017-156251,53214,FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Central,3763,Corporate,Corporate,18-08-2017,Second Class,Wisconsin,Bookcases,2017,1,0,1,0,1,0,24.196,10%,2,241.96
Office Supplies,Office Supplies,West Allis,United States,TS-21160,Theresa Swint,13-08-2017,CA-2017-156251,53214,OFF-BI-10003529,Avery Round Ring Poly Binders,Central,3764,Corporate,Corporate,18-08-2017,Second Class,Wisconsin,Binders,2017,1,0,1,0,1,0,4.1748,49%,3,8.52
Office Supplies,Office Supplies,Chicago,United States,MH-18025,Michelle Huthwaite,25-02-2018,CA-2018-125878,60623,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Central,3765,Consumer,Consumer,2/3/2018,Standard Class,Illinois,Binders,2018,1,0.8,1,0,1,0,-3.0396,-170%,3,1.788
Furniture,Furniture,Houston,United States,DM-12955,Dario Medina,21-03-2017,CA-2017-163153,77036,FUR-TA-10004767,Safco Drafting Table,Central,3766,Corporate,Corporate,25-03-2017,Standard Class,Texas,Tables,2017,1,0.3,1,0,1,0,-1.4196,-1%,2,99.372
Office Supplies,Office Supplies,Houston,United States,DM-12955,Dario Medina,21-03-2017,CA-2017-163153,77036,OFF-AR-10001868,Prang Dustless Chalk Sticks,Central,3767,Corporate,Corporate,25-03-2017,Standard Class,Texas,Art,2017,1,0.2,1,0,1,0,0.504,38%,1,1.344
Technology,Technology,Houston,United States,JJ-15760,Joel Jenkins,8/12/2016,CA-2016-103205,77036,TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),Central,3768,Home Office,Home Office,10/12/2016,Second Class,Texas,Phones,2016,1,0.2,1,0,0,0,11.996,10%,5,119.96
Furniture,Furniture,Hialeah,United States,KB-16585,Ken Black,16-12-2015,CA-2015-153913,33012,FUR-CH-10000988,Hon Olson Stacker Stools,South,3769,Corporate,Corporate,20-12-2015,Second Class,Florida,Chairs,2015,1,0.2,1,0,1,0,101.3832,10%,9,"1,013.83"
Office Supplies,Office Supplies,Hialeah,United States,KB-16585,Ken Black,16-12-2015,CA-2015-153913,33012,OFF-FA-10000490,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",South,3770,Corporate,Corporate,20-12-2015,Second Class,Florida,Fasteners,2015,1,0.2,1,0,1,0,0.6696,34%,2,1.984
Furniture,Furniture,San Francisco,United States,CM-12160,Charles McCrossin,17-12-2017,CA-2017-155530,94122,FUR-TA-10004256,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,West,3771,Consumer,Consumer,21-12-2017,Standard Class,California,Tables,2017,1,0.2,1,0,1,0,-325.572,-16%,6,"2,003.52"
Office Supplies,Office Supplies,Philadelphia,United States,FM-14215,Filia McAdams,12/5/2017,US-2017-101196,19140,OFF-ST-10004804,"Belkin 19"" Vented Equipment Shelf, Black",East,3772,Corporate,Corporate,17-05-2017,Standard Class,Pennsylvania,Storage,2017,1,0.2,1,1,1,0.5,-19.5624,-24%,2,82.368
Technology,Technology,Columbia,United States,RF-19735,Roland Fjeld,6/8/2015,CA-2015-115357,29203,TEC-AC-10000023,"Maxell 74 Minute CD-R Spindle, 50/Pack",South,3773,Consumer,Consumer,11/8/2015,Second Class,South Carolina,Accessories,2015,1,0,1,0,1,0,22.6476,36%,3,62.91
Office Supplies,Office Supplies,Miami,United States,JK-15370,Jay Kimmel,11/4/2015,US-2015-102715,33180,OFF-FA-10001332,"Acco Banker's Clasps, 5 3/4""-Long",South,3774,Consumer,Consumer,13-04-2015,Second Class,Florida,Fasteners,2015,1,0.2,1,0,1,0,2.3328,34%,3,6.912
Technology,Technology,Miami,United States,JK-15370,Jay Kimmel,11/4/2015,US-2015-102715,33180,TEC-AC-10002001,Logitech Wireless Gaming Headset G930,South,3775,Consumer,Consumer,13-04-2015,Second Class,Florida,Accessories,2015,1,0.2,1,0,1,0,81.5949,21%,3,383.976
Office Supplies,Office Supplies,Miami,United States,JK-15370,Jay Kimmel,11/4/2015,US-2015-102715,33180,OFF-PA-10000029,Xerox 224,South,3776,Consumer,Consumer,13-04-2015,Second Class,Florida,Paper,2015,1,0.2,1,0,1,0,3.6288,35%,2,10.368
Technology,Technology,Miami,United States,JK-15370,Jay Kimmel,11/4/2015,US-2015-102715,33180,TEC-AC-10001874,Logitech Wireless Anywhere Mouse MX for PC and Mac,South,3777,Consumer,Consumer,13-04-2015,Second Class,Florida,Accessories,2015,1,0.2,1,0,1,0,41.993,13%,7,335.944
Furniture,Furniture,Chula Vista,United States,JB-16045,Julia Barnett,3/5/2016,CA-2016-107937,91911,FUR-FU-10002298,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",West,3778,Home Office,Home Office,8/5/2016,Standard Class,California,Furnishings,2016,1,0,1,0,1,0,106.5408,16%,6,665.88
Technology,Technology,Miami,United States,PN-18775,Parhena Norris,30-11-2018,US-2018-148768,33180,TEC-PH-10002564,OtterBox Defender Series Case - Samsung Galaxy S4,South,3779,Home Office,Home Office,2/12/2018,Second Class,Florida,Phones,2018,1,0.2,1,0,1,0,8.997,13%,3,71.976
Office Supplies,Office Supplies,New York City,United States,LF-17185,Luke Foster,16-02-2018,CA-2018-118521,10035,OFF-PA-10003465,Xerox 1912,East,3780,Consumer,Consumer,20-02-2018,Standard Class,New York,Paper,2018,1,0,1,1,1,0.5,18.2112,48%,2,37.94
Technology,Technology,Manhattan,United States,RH-19510,Rick Huthwaite,16-11-2015,CA-2015-149643,66502,TEC-PH-10000038,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,Central,3781,Home Office,Home Office,20-11-2015,Standard Class,Kansas,Phones,2015,1,0,1,0,1,0,10.9584,4%,2,273.96
Technology,Technology,Philadelphia,United States,MC-17575,Matt Collins,9/7/2016,CA-2016-135314,19120,TEC-PH-10003072,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,East,3782,Consumer,Consumer,14-07-2016,Second Class,Pennsylvania,Phones,2016,1,0.4,1,1,1,0.5,40.4973,15%,3,269.982
Office Supplies,Office Supplies,Memphis,United States,MN-17935,Michael Nguyen,13-11-2018,CA-2018-165204,38109,OFF-PA-10003424,"""While you Were Out"" Message Book, One Form per Page",South,3783,Consumer,Consumer,16-11-2018,Second Class,Tennessee,Paper,2018,1,0.2,1,0,0,0,3.339,38%,3,8.904
Office Supplies,Office Supplies,Memphis,United States,MN-17935,Michael Nguyen,13-11-2018,CA-2018-165204,38109,OFF-ST-10003716,Tennsco Double-Tier Lockers,South,3784,Consumer,Consumer,16-11-2018,Second Class,Tennessee,Storage,2018,1,0.2,1,0,0,0,-63.0056,-9%,4,720.064
Technology,Technology,Fort Lauderdale,United States,EH-14125,Eugene Hildebrand,31-07-2018,CA-2018-125752,33311,TEC-AC-10003590,"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",South,3785,Home Office,Home Office,4/8/2018,Standard Class,Florida,Accessories,2018,1,0.2,1,0,1,0,8.2848,20%,2,41.424
